id,spoken_words
1,Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?
2,"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?"
3,Oh.
4,And?
5,"Hey, just because I don't care doesn't mean I don't understand."
6,Me?
7,I don't think you realize what you're saying.
8,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!"
9,Go Away.
10,"Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?"
11,Nuts.
12,This isn't going well at all.
13,"No, no, no. I just wish I knew what to say."
14,"Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof."
15,Oh.
16,"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?"
17,I can hold these nails in place with my tail.
18,Gimme a banana.
19,"Come on, you're holding out on me."
20,Think nothing of it.
21,"Hey, what's the matter, son?"
22,"Hey son, would you have gotten any money for being class president?"
23,Would you have to do extra work?
24,"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?"
25,"So, let the baby have his bottle, huh? That's my motto."
26,Holy-moly... talk about parenting!
27,Uh oh.
28,"Sleep well, Maggie. Ah, three for three."
29,"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life."
30,Mmm... hors doovers.
31,I promised I wouldn't eat? Never! You lie!
32,"Oh son, when you're older, you'll know better."
33,"Hmmm. Oh, baby! Mmmm. Yeah."
34,How do I look?
35,Do we have enough gag ice cubs?
36,What are all our friends names again?
37,Why not? I paid for it.
38,"Hey, Flanders, next time why don't you put a little alcohol in it?"
39,Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.
40,No.
41,"Oh, Dr. Hibbert. Enjoying the party?"
42,It was me! You fell for it!
43,You should see the look on your face. It's priceless.
44,Bart! Come over here.
45,"You little monkey... you're a little monkey, aren't you?"
46,"Bart, do that thing you do that's so cute."
47,That thing you know how to do.
48,Go to bed.
49,"Hey, everybody! Look, I'm the funniest guy in the world!"
50,"I've been wantin' to tell you off for years, but I've never had the nerve."
51,You stink! You and your whole lousy operation stinks! I quit!
52,All right then.
53,Could you... give me a handful of peanuts... Maude?
54,Not those peanuts. The ones at the bottom.
55,Why? What'd you do?
56,Marge!
57,Where-where are we going?
58,The way I acted?
59,So I said: I must get out of these wet clothes and into a dry martini.
60,I put it there.
61,I slipped it into your glass as a gag.
62,"I'm sorry, honey. Can't we just forget it and go to church."
63,"No, I didn't... I... Oh, you mean inside, don't you?"
64,About last night... you might have noticed Daddy acting a little strange and you probably don't understand why.
65,I admit it. I didn't know when to say when. I'm sorry it happened and I just hope you didn't lose a lot of respect for me.
66,Aw.
67,"Marge, Marge."
68,"Sorry, Reverend."
69,Hmmmm.
70,"Oh, well, it's very tempting. Really a wonderful idea."
71,Marge! What are you doing? Are you insane?!
72,"Marriage encounter weekend, here I come!"
73,They're holding it at Catfish Lake. They couldn't call it Catfish Lake if it didn't have a catfish in it.
74,"Oh dear. If we can't find a babysitter, we can't go. What a kick in the teeth."
75,"No, you don't!"
76,"Marge, just puttin' a few last things in the trunk."
77,"Hmmm, bait."
78,"Whoa, better get some gas."
79,Fill 'er up. I guess I'll go and stretch my legs.
80,Catfish Lake.
81,"Wait, wait a minute... wait a minute. Who's General Sherman?"
82,Oh yeah.
83,"Whoa, who says that?"
84,Oh.
85,Hmmmm. Gentlemen: I am going to catch General Sherman!
86,"None of your business, Flanders."
87,Uh say... uh... Reverend... are we gonna get a chance to do any fishing?
88,Oh.
89,I see. I also understand bowling expressions.
90,Lucky you don't keep guns in the house.
91,"Ohhh, because I got drunk and looked down her dress."
92,She's perfect.
93,"Well, sometimes that can be annoying."
94,I'm done.
95,It's true. It's all true.
96,Sorry.
97,I only did that a couple of times.
98,"Out at five, catch General Sherman at five-thirty, clean him at six, eat him at six-thirty, back in bed by seven with no incriminating evidence. . The perfect crime."
99,Would this be a good time to be honest?
100,"You're right, I am. Help me, Marge. What do I do to be a good guy?"
101,No.
102,All right. But I can't sleep. Can I take a walk?
103,Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.
104,"Hey, kid! You forgot your... WHOA!"
105,"Go ahead, General Sherman! Waste your strength, you big ugly catfish. I gotta skillet and a stick of butter with your name on it."
106,Good! Give up!
107,Huh?
108,"Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show."
109,Whoa! Holy mackerel!
110,"I love you, but I must kill you."
111,I AM THE CHAMPIONS / I AM THE CHAMPIONS / NO TIME FOR LOSERS / CAUSE I AM THE CHAMPIONS / OF THE WORLLLLD!
112,"Uh, oh."
113,"Hi, honey. Uh, oh. How's the marriage retreat going?"
114,"Marge, you don't know what this fish means. This fish represents a better life for both of us. This fish makes me a champion and a hero."
115,To those weirdos in the worm store.
116,"Well, if that's the way you feel... I'll throw it back."
117,Watch.
118,"Wow, I did it! I gave up fame and breakfast for my marriage. I fought it for six hours. She says one word and I toss it back. And you're telling me our marriage is in trouble? Come here, baby."
119,We're back!
120,Same as usual. Perfectomundo.
121,I never knew what Superman saw in her. Give me Wonder Woman! And that golden lariat. She can tie me up any time.
122,"I was just kidding, Marge. Hey, what does everyone say to dinner at Krusty Burger? My treat!"
123,"All right, what are you getting at?"
124,"A hundred bucks?! For a comic book? Who drew it, Micha-ma-langelo?"
125,"Well, t.s."
126,No.
127,No.
128,No.
129,No.
130,No.
131,No.
132,No.
133,"No! Now, look, son, we all know that usually when you bug me like this, I give in, so I'm not mad at you for trying. It shows you've been paying attention. But we all know I'm not gonna give you a hundred dollars. Now are you gonna stop bugging me?"
134,Are you?
135,Are you?
136,Are you?
137,Are you?
138,Are you?
139,Are you?
140,Are you?
141,Are you?
142,Are you?
143,Are you?
144,"Hee hee, I win! In your face! Yeah! How do you like them apples? Woo hoo hoo!"
145,Bart! What are you staring at?
146,Bart! Stop it!
147,"Hey, what's all the --"
148,My beer... my beer... my beautiful beer.
149,"What's the problem, boy?"
150,"Hey, when I was your age, fifty cents was a lot of money."
151,Nah.
152,"Son, I'm proud of you. I was twice your age before I figured that out."
153,They're fine.
154,"Joke's on them. If the core explodes, there won't be any power to light that sign."
155,How many hairs on my head? Without looking!
156,"I can't believe you guys. There's a human being out there with millions of dollars who needs our help. And you don't wanna cash in? That's why you losers are stuck in this crummy, dead end job."
157,"Sorry, sir."
158,Marge! Marge! What's my blood type?
159,"Aw, nuts! Extremely rare blood and I don't have it."
160,Earmuffs.
161,"Aw, old man Burns is gonna kick off if he doesn't get some Double-O-Negative blood, but nobody at the plant has it."
162,"Woo! Yes! All right! Woo! Congratulations, boy! You've got a date with a needle!"
163,"Yeah, you have the right to remain silent."
164,"Bart, it's not like I'm asking you to give blood for free. That would be crazy! You're a little young to understand this, but when you save a rich man's life, he showers you with riches. Don't you know the story of Hercules and the Lion?"
165,"Yeah, probably. Anyway, once upon a time there was a big mean lion who got a thorn in his paw. And all the village people tried to pull it out, but nobody was strong enough. So they got Hercules, and Hercules used his mighty strength, and bingo. Anyway, the moral is, the lion was so happy, he gave Hercules this big thing of riches."
166,It was the olden days!
167,"Hey, let's go! Emergency! Life-or-death here!"
168,Now let's get the show on the road.
169,Eh.... the boy.
170,Mr. Burns... he's okay! Jackpot!
171,"Bill... Bill... Summons... Bill... Wait a minute. From C.M. Burns? Is this it? Yes, this is it! Woo-hoo! Woo!"
172,Marge! Lisa! Maggie! Let's do this out in the yard where the neighbors can see!
173,"Lisa, dim the lights! No, turn on more lights! But do something!"
174,"It's a little thin, but that's okay, could be a check."
175,"""Better half,"" Marge. ""Better half."""
176,"All right, there's no check, just a card. But don't panic. I'm sure it tells us what we're getting and where we can pick it up. ""Dear Bart... Thank you kindly for the blood. Yours truly, Montgomery Burns."" It's just a card!"
177,"This is some way to show your gratitude. No gold. No diamonds. No rubies. Not even a lousy card. Wait a minute, there was a card. That's what got me so mad in the first place."
178,"Marge, you're my wife and I love you very much. But you're living in a world of make-believe. With flowers and bells and leprechauns, and magic frogs with funny little hats..."
179,Bart!
180,"I promised my boy one simple thing: Lots of riches. And that man broke my promise. Well, I've had it! Bart, take a letter."
181,"""Dear Mr. Burns. I'm so glaaad you enjoyed my son's blood. And your caard was just great. In case you can't tell, I'm being sarcastic. You stink!"" Could you read that last part back to me?"
182,"Good. ""You are a senile, buck-toothed old mummy with bony girl arms... and you smell like..."""
183,An elephant's butt.
184,Yup!
185,"Forget it, Marge!"
186,"Oh, all right. You always do that hand thing! And it usually works."
187,Cheap son-of-a...
188,Hmmm...
189,"Oh, Marge, you saved me from making a big mistake. Y'know, I finally understand the meaning of mmphm hnmph."
190,Where's the letter?
191,Where is it?
192,"Well, it's somewhere! It didn't just get up and walk away!"
193,"Bart, have you seen the letter?"
194,"All right, think very carefully. Where did you see it last?"
195,Uh huh.
196,Yeah...
197,Why did you do that?
198,I'll show you mad in the morning.
199,"She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!"
200,Ow. Ow. Ow. Ow. Ow. Ow. Ow.
201,"Locked, eh? Well, I just might have a little surprise up my sleeve for old Mr. Lock. Step aside, boy."
202,"What does it look like? I'll get our letter so wet, the ink will run and no one will be able to read it."
203,"So a few people won't get a few letters. Boo-hoo. You know the kinda letters people write: ""Dear Somebody-You-Never-Heard-Of... How is So-and-So? Blah blah blah blah blah blah blah. Yours truly, Some Bozo."" Big loss."
204,"Now Bart, you keep an eye out for the mailman. Just give me some kind of signal."
205,That's a good one. We'll use that.
206,"Uh, uh I-I guess it wouldn't do any good to run, 'cause you're our mail lady and you know my name and address and everything, huh?"
207,"Well, I'm still gonna run!"
208,"Hello, my name is Mr. Burns. I believe you have a letter for me."
209,I don't know.
210,"Great plan, Bart."
211,"Lisa, I don't know what you're doing, but it's very strange and your father is trying to worry."
212,Oops.
213,Twenty eight minutes till Burns comes. Time for operation Mail Take.
214,Homer Simpson.
215,"Yeah, well I'll be on my --"
216,"Hey, c'mon, Joey! Do you have to twist my arm?"
217,"Oh, I've never seen Mr. Burns this mad and he's always kinda mad."
218,Me and my big... letter writing pen!
219,"Okay, here's the plan. You can move in with your sisters and raise the kids. And I'll... die in a gutter. It's practical and within our means."
220,"I got my problems, Moe. Give me another one."
221,"Oh, woe is me."
222,"Mr. Burns, you brought us a present."
223,"What did I tell you? I'll bet it's filled with diamonds, rubies, sapphires, pearls..."
224,"Marge, what does it do?"
225,"Marge! Really, what does it do?"
226,"Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock."
227,"Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!"
228,Exactly. It's just a bunch of stuff that happened.
229,Amen to that!
230,Who stole my shirt? Who stole my shirt?
231,"Oh thank you, Marge -- Pink?"
232,"Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different."
233,"Oh, gimme, gimme, gimme, gimme, gimme!"
234,"Oh no... Pink. Pink! PINK! It's all over, Marge. It's all over."
235,You! You did this to me!
236,"Mmm, thanks -- It looks... Hey, wait a minute! Just because I'm wearing a pink shirt, it doesn't mean I'm some kind of a... pink doughnut-eater! Although it is tempting --"
237,You don't understand... my son just threw his red hat in with the white laundry...
238,Print name?
239,"Honey, do me a favor. Fill out this form."
240,"All right, all right. I'll get Lisa to do it."
241,"Lisa, you like homework. Could you fill out this form for me?"
242,O-kay.
243,No deal.
244,"Son, it's no different than the time I let you vote for me. Remember that absentee ballot?"
245,Look at him!
246,Awww.
247,Dog on Fire! Dog on Fire!
248,"Yes, I'm hearing one right now, while I'm trying to watch TV."
249,Bart! Shut up or I'll shut you up!
250,"So, did I pass?"
251,The devil with his fly open.
252,That's a spill on a floor with bugs goin' after it. They're gonna eat it.
253,Arrghh!
254,The boy! This isn't fair! How can you tell who's sane and who's insane?
255,Who are you?
256,"I'm Homer Simpson, from the Simpsons."
257,"Oh, of course I've heard of you. I mean you'd have to be living under a rock not to know -- what'd you say your name was?"
258,Doesn't ring a bell.
259,What was that last one?
260,Nope.
261,Wow. How do you do that thing with your feet?
262,"No, that thing with your feet."
263,Because I wore a pink shirt.
264,What'd you wear?
265,Bbl--bbl--bbl--bbl--
266,"Hey, Michael, I don't get it. These guys seem as normal as you and me."
267,Okay. Five times nine.
268,Wowww.
269,"Hey, Chief."
270,"Gee, I gotta call my family."
271,"Oh, this is so embarrassing, calling 'em from a nut house. I mean, they think I'm a god."
272,"Oh great! And uh, try to put a good face on this. Tell them this is one of those places where rich women lose weight."
273,"That's all right, son."
274,What's that?
275,"This place is so strange. Mike, I'm ashamed to admit it to another guy, but I'm... scared."
276,Pancakes... football... Boobies...
277,Was the door locked?
278,Was it raining?
279,Were you out of gas?
280,Baby.
281,Mmm... pancakes.
282,Marge!
283,"That's the most flattering thing anyone has ever said to me. Could I have it in writing, please?"
284,Not insane.
285,"Thanks a lot, Michael. You really helped me get through this. If you ever find your marbles, come visit us."
286,You are? Why?
287,"Boy, when I get home, I'm going to wrap my hands around your neck --"
288,#NAME?
289,"Now listen. I'm bringing Michael Jackson home to stay with us for a few days... Isn't that cute -- he's heard of you! Now, make sure we have plenty of cold cuts, and put some beer on ice."
290,Are you sure you're here voluntarily?
291,Thanks everybody! It's great to be sane.
292,Here he is! Here's the guy you wanna see.
293,Huh? Huh?
294,Come off. I'm sane now.
295,Not me. I got this.
296,"Stupid junk mail... ""You May Have Already Won!"" Yeah, win this... ""Here's Good News for Homer Simpsoy""... I'll see that he gets it. How dumb do they think I am?"
297,Huh? A check?
298,One Million dollars? I'm rich!
299,"Oh yeah? Well, what makes you so damn sure?"
300,Shut up.
301,I had a feeling it was too good to be true. Every time you get a million dollars something queers the deal.
302,"Marge, I never read a magazine in my life and I'm not gonna start now."
303,"Hey, a cartoon."
304,"""Well dear, you always wanted a compact."" -- Ain't it the truth."
305,"Oh, Marge. Cartoons don't have any deep meaning. They're just stupid drawings that give you a cheap laugh."
306,"Nah, you go ahead."
307,"As Tolstoy said in ""Quotable Notables,"" ""Give me learning, sir, and you may keep your black bread."""
308,"Marge, look at them staring at that idiot box. God forbid they would ever read something and improve their minds."
309,"Ooh... How about the ""V""?"
310,"It's not just one magazine, Marge. They take hundreds of magazines, filter out the crap, and leave you with something that fits right in your front pocket."
311,Those kids don't know what they're missing.
312,We're all gonna sit down as a family and listen to an inspiring story of wilderness survival.
313,Then I heard the sound that all Arctic explorers dread: The pitiless bark of the sea lion. He'll be killed!
314,Don't be so...
315,"Oh, you're right."
316,Hmph?
317,"That reminds me! ""Seven Ways To Spice Up Your Marriage."""
318,"Marge, you have a nice body. And if you'd like to see me in a costume, you have only to ask."
319,Where do you think? This baby never steers you wrong. And it was free. Free!
320,"Wow! ""Win a Trip to Washington D.C.""! ""All expenses paid... VIP tour""... Oh. It's for kids."
321,Ooh... And Miss? Just one more question --
322,"Sweetheart, there's nothing I wouldn't do for that magazine."
323,YEAH! Damn right!
324,Uh-uh.
325,Woo hoo! Who would've guessed reading and writing would pay off?
326,"Playing cards, notepad, aspirin, sewing kit, pilot's wing pin, propellor-shaped swizzle stick, sleeping mask and anything else I've got coming to me."
327,We're all gonna die!
328,"Look, Marge, that guy has the same last name we do... Taxi!"
329,BOOOOO!
330,Wowww -- A shoehorn! Just like in the movies!
331,"Shoe goes on, shoe goes off. Shoe goes on, shoe goes off. Shoe goes on, shoe goes off."
332,Stupid welcoming mint! Y'ello.
333,Wake-up call? It's two AM!
334,Free food?!
335,"Ooh! I love your magazine. My favorite section is ""How To Increase Your Word Power."" That thing is really, really, really good."
336,"Miss? What does the ""I"" stand for?"
337,"Ah! What does the ""I"" stand for again?"
338,"Yeah, right."
339,Mmmmmm... Money.
340,Lousy cheap country...
341,BART! Get out of the Spirit of St. Louis!
342,"Hey, what's so funny?"
343,"Oh Marge, grow up."
344,Who's that?
345,"Bart, are you ready to go to... I'll room service you..."
346,"Yeah, your other speech was a little more crowd pleasin'."
347,Gimme one of those!
348,Give her the check!
349,I was serious.
350,I'm almost done.
351,I'll be there. Not-y not-y not.
352,"Well, why doesn't he just say so?"
353,"Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story."
354,"Excuse me? Better? Thanks a lot, Marge, you really put me in my place."
355,"Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club..."
356,"Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave."
357,"What is it, boy? What? Mmmmmmmm... bar-b-que."
358,"Hey, everyone, I'm back! Great to see ya! Nice seein' ya!"
359,"Hey, no tagbacks."
360,The fly was funny and a booger was the icing on the cake...
361,That was a joke?
362,Uh... Sounds like a pretty dumb idea to me.
363,"Fun? Where is this store, Flanders? The merry old land of Oz?"
364,Nah.
365,"No, it isn't."
366,"Hmm, let's see."
367,Nah.
368,Hmmm.
369,Heyyyy.
370,"Keep your pants on, Flanders! I'm wishing as fast as I can!"
371,Ooooh.
372,Mmmm -- too far.
373,Okay. Ready.
374,Yesssss! Oh yessss! Read it and weep. In your face. I've got more chicken bone!
375,Oooh. That would be a shame.
376,"Wouldn't it, Flanders?"
377,"Marge, TV gives so much and asks so little. It's a boy's best friend."
378,"See, Marge? You knock TV and then it helps you out. I think you owe somebody a little apology."
379,"Well, if it isn't the Leftorium."
380,Ow. Ow. Ow. Ow.
381,"Hey Flanders, how's business?"
382,"So, Flanders, have you sold anything?"
383,"I'm telling you, Flanders' store was dee-serted. So what do you think of your bestest buddy now, Marge?"
384,"No, I do not know what Schadenfreude is. Please tell me, because I'm dying to know."
385,"Oh, come on, Lisa. I'm just glad to see him fall flat on his butt. He's usually all happy and comfortable and surrounded by loved ones, and it makes me feel... What's the opposite of that shameful joy thing of yours?"
386,"Boy, those Germans have a word for everything."
387,"Yeah, come on boy, this better be worth my ten bucks."
388,"Ooh, the touch of death."
389,"Hey, boy. How was class?"
390,"Oh, that'll learn 'im."
391,"Hey Flanders, when are your busy hours?"
392,Lousy. He just sits there all day. He'd have a great job if he didn't own the place.
393,"Uh, well actually, Moe..."
394,I dunno.
395,"Apple, apple, apple... Come on candy bar. Hey, I know you! You're that first apple I didn't want. That sinks it. I'm really gonna let 'em have it this time!"
396,"Homer Simpson, sir."
397,"Can I leave, Mr. Burns?"
398,But the note was asking you to --
399,"Um, Mr. Burns..."
400,"Sorry, Flanders."
401,Huh?
402,"Hey, Flanders. Is everything okay?"
403,"Oh, I get it. It's not good enough for you, but it's good enough for me! Well, I wouldn't be caught dead buying this... Hello!"
404,I'll give you twenty bucks for it.
405,"You were swindled, my friend. Twenty bucks. Take it or leave it."
406,Sorry! No cash for Neddie! Homer keep all money! Bye bye Neddie! Bye bye!
407,Twenty dollars?
408,Now I don't want it.
409,"I changed my mind. It was a passing fancy. Although perhaps if you threw in a few lawn chairs, maybe that tool bench, it might rekindle my interest."
410,"Hey, Bartle- eeboobely, care for a steak-a-rooney?"
411,Daddly-doodly.
412,Only seventy-five beans!
413,"Oh, I know I need to pay them. But there's just so many."
